,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
209,157,Wenyen Gabriel,PF,26,MEM,5,0,16.2,1.6,4.4,.364,0.2,1.2,.167,1.4,3.2,.438,.386,0.0,1.0,.000,1.4,3.6,5.0,0.6,0.4,0.4,1.6,2.0,3.4,2024
210,158,Daniel Gafford,C-PF,25,TOT,63,55,24.8,4.7,6.5,.714,0.0,0.0,,4.7,6.5,.714,.714,1.8,2.6,.701,2.8,5.1,7.9,1.4,0.9,2.0,1.0,3.1,11.2,2024
211,158,Daniel Gafford,C,25,WAS,45,45,26.5,4.5,6.5,.690,0.0,0.0,,4.5,6.5,.690,.690,1.9,2.6,.706,2.9,5.1,8.0,1.5,1.0,2.2,1.0,3.3,10.9,2024
212,158,Daniel Gafford,PF,25,DAL,18,10,20.4,5.1,6.6,.771,0.0,0.0,,5.1,6.6,.771,.771,1.7,2.5,.689,2.5,4.9,7.4,1.2,0.7,1.7,0.9,2.8,11.8,2024
213,159,Danilo Gallinari,PF-SF,35,TOT,45,0,13.2,1.8,4.0,.439,0.6,2.0,.322,1.1,2.0,.556,.519,1.7,2.0,.856,0.4,1.8,2.2,1.2,0.3,0.1,0.4,1.0,5.9,2024
214,159,Danilo Gallinari,PF,35,WAS,26,0,14.8,2.2,5.0,.435,0.8,2.5,.313,1.4,2.6,.552,.511,1.8,2.2,.839,0.5,2.5,2.9,1.2,0.2,0.1,0.5,1.0,7.0,2024
215,159,Danilo Gallinari,SF,35,DET,6,0,15.0,2.0,3.7,.545,1.2,2.0,.583,0.8,1.7,.500,.705,3.5,4.0,.875,0.3,2.0,2.3,2.0,0.3,0.3,0.2,1.5,8.7,2024
216,159,Danilo Gallinari,SF,35,MIL,13,0,9.0,0.8,2.1,.370,0.2,1.1,.143,0.6,1.0,.615,.407,0.7,0.8,.900,0.3,0.5,0.8,0.7,0.3,0.1,0.4,0.8,2.4,2024
217,160,Darius Garland,PG,24,CLE,47,47,33.2,6.7,14.9,.450,2.3,6.3,.368,4.4,8.6,.510,.528,2.8,3.4,.835,0.5,2.0,2.5,6.2,1.2,0.1,3.1,1.8,18.5,2024
218,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2024
219,161,Usman Garuba,PF,21,GSW,3,0,2.7,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.0,0.0,,0.3,0.0,0.3,0.3,0.3,0.0,0.0,0.7,0.0,2024
220,162,Luka Garza,C,25,MIN,18,0,5.3,1.3,3.1,.436,0.5,1.6,.321,0.8,1.5,.556,.518,0.7,1.0,.722,0.7,0.6,1.3,0.2,0.1,0.1,0.3,1.0,3.9,2024
221,163,Kaiser Gates,SF,27,NOP,1,0,7.0,0.0,4.0,.000,0.0,2.0,.000,0.0,2.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
222,164,Keyonte George,PG,20,UTA,64,33,26.3,4.2,10.6,.396,2.0,5.7,.344,2.2,4.9,.457,.489,2.5,3.0,.839,0.2,2.7,2.9,4.5,0.5,0.1,2.3,1.1,12.9,2024
223,165,Paul George,PF,33,LAC,64,64,34.1,7.9,16.9,.468,3.3,8.2,.405,4.6,8.6,.528,.567,3.4,3.8,.896,0.5,4.8,5.3,3.6,1.6,0.5,2.0,2.8,22.5,2024
224,166,Taj Gibson,PF,38,TOT,17,1,10.4,0.5,1.5,.320,0.1,0.5,.125,0.4,1.0,.412,.340,0.1,0.1,1.000,0.6,1.2,1.8,0.5,0.2,0.4,0.3,1.7,1.1,2024
225,166,Taj Gibson,PF,38,NYK,16,1,10.3,0.4,1.4,.304,0.0,0.4,.000,0.4,1.1,.412,.304,0.1,0.1,1.000,0.6,1.1,1.8,0.6,0.1,0.4,0.3,1.8,1.0,2024
226,166,Taj Gibson,PF,38,DET,1,0,11.0,1.0,2.0,.500,1.0,2.0,.500,0.0,0.0,,.750,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,2024
