,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
268,197,Jaden Hardy,SG,21,DAL,67,896,11.5,.518,.483,.146,2.1,12.0,7.1,15.7,1.0,0.4,9.7,24.8,-0.3,0.6,0.3,.018,-1.7,-2.3,-4.0,-0.5,2024
269,198,Ron Harper Jr.,PF,23,TOR,1,4,0.0,,,,0.0,0.0,0.0,28.5,0.0,0.0,,0.0,0.0,0.0,0.0,.085,-11.7,2.8,-8.9,0.0,2024
270,199,Gary Harris,SG,29,ORL,49,1145,9.7,.596,.680,.165,2.3,6.3,4.2,9.1,1.8,1.1,9.0,12.3,1.0,1.5,2.5,.104,-2.1,1.0,-1.1,0.3,2024
271,200,Joe Harris,SG,32,DET,16,170,4.6,.489,.769,.051,2.0,6.8,4.3,7.6,0.9,1.0,9.1,11.0,0.0,0.1,0.0,.003,-4.8,-1.1,-5.9,-0.2,2024
272,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,2024
273,201,Kevon Harris,SG,26,ORL,2,6,11.3,.667,.000,.000,0.0,39.8,19.7,33.0,0.0,0.0,25.0,29.2,0.0,0.0,0.0,.038,-15.5,-0.3,-15.8,0.0,2024
274,202,Tobias Harris,PF,31,PHI,67,2272,16.3,.575,.272,.223,3.5,18.1,10.7,13.8,1.5,1.7,8.3,20.9,2.8,2.5,5.3,.112,0.9,-0.2,0.6,1.5,2024
275,203,Shaquille Harrison,SG,30,MEM,3,6,15.8,.500,.000,.000,0.0,39.1,18.8,0.0,0.0,15.5,0.0,14.4,0.0,0.0,0.0,.088,-0.7,5.2,4.6,0.0,2024
276,204,Josh Hart,SF,28,NYK,75,2499,11.6,.514,.392,.169,5.6,23.7,14.6,16.3,1.4,0.8,14.1,13.6,1.6,3.3,4.9,.094,-1.5,1.4,-0.1,1.2,2024
277,205,Isaiah Hartenstein,C,25,NYK,70,1746,18.7,.668,.009,.420,15.0,24.1,19.5,13.2,2.3,4.2,16.8,11.7,4.2,3.2,7.4,.202,0.5,2.9,3.4,2.4,2024
278,206,Sam Hauser,SF,26,BOS,73,1562,13.3,.659,.859,.035,2.9,14.0,8.7,5.6,1.1,1.3,6.0,14.5,2.6,2.0,4.7,.144,1.6,0.2,1.8,1.5,2024
279,207,Jordan Hawkins,SG,21,NOP,65,1140,10.3,.534,.651,.178,2.8,11.4,7.1,8.4,0.8,0.5,7.3,20.0,0.3,1.0,1.3,.056,-1.3,-1.7,-3.0,-0.3,2024
280,208,Jaxson Hayes,C,23,LAL,65,787,13.6,.706,.051,.481,9.8,17.4,13.8,5.3,1.7,2.6,16.4,12.5,1.2,0.9,2.1,.129,-3.1,0.7,-2.3,-0.1,2024
281,209,Killian Hayes,PG,22,DET,42,1008,10.5,.474,.261,.177,1.2,12.3,6.7,27.6,1.7,1.7,14.3,15.0,0.0,0.7,0.7,.032,-2.9,0.2,-2.7,-0.2,2024
282,210,Gordon Hayward,SF,33,TOT,47,1165,12.5,.535,.225,.280,3.5,13.3,8.3,19.1,1.5,1.0,12.3,18.5,0.4,0.8,1.2,.050,-1.7,-0.6,-2.3,-0.1,2024
